Vengeance,2022,6.9,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
Secret Headquarters,2022,4.9,"While hanging out after school, Charlie and his friends discover the headquarters of the world's most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world."
Como Seria se...?,2022,6.3,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career."
Thor: Amor e Trovão,2022,6.7,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
Agente Oculto,2022,6.5,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins."
Treze Vidas: O Resgate,2022,7.8,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
Uncharted - Fora do Mapa,2022,6.4,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada."
Dupla Jornada,2022,6.1,"A hard-working, blue-collar dad who just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires."
Continência ao Amor,2022,6.8,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur."
Elvis,2022,7.6,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
Grease: Nos Tempos da Brilhantina,1978,7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Não! Não Olhe!,2022,7.3,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.
Top Gun: Maverick,2022,8.5,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him."
Órfã 2: A Origem,2022,6.1,"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family."
Trem-Bala,2022,7.5,Five assassins aboard a fast moving bullet train find out their missions have something in common.
Bodies Bodies Bodies,2022,6.7,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong."
O Predador: A Caçada,2022,7.2,"The origin story of the Predator in the world of the Comanche Nation 300 years ago. Naru, a skilled warrior, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth."
Beast,2022,5.9,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.
O Telefone Preto,2021,7.0,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims."
Laal Singh Chaddha,2022,5.0,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh."
Top Gun: Ases Indomáveis,1986,6.9,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
A Queda,2022,6.5,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower."
Lightyear,2022,5.8,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
Tudo em Todo Lugar ao Mesmo Tempo,2022,8.2,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led."
Um Lugar Bem Longe Daqui,2022,7.1,A woman who raised herself in the marshes of the deep South becomes a suspect in the murder of a man she was once involved with.
Jurassic World Domínio,2022,5.7,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
365 Days,2020,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
X: A Marca da Morte,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
DC Liga dos Superpets,2022,7.8,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped."
Cidade Perdida,2022,6.1,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Batman,2022,7.9,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Dragon Ball Super: Super Hero,2022,7.3,The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.
Licorice Pizza,2021,7.2,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
O Predador,1987,7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
Sorte,2022,6.3,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.
O Poderoso Chefão,1972,9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
"Seis Dias, Sete Noites",1998,5.8,"Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island."
A Órfã,2009,7.0,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.
Minions 2: A Origem de Gru,2022,6.6,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.
O Homem do Norte,2022,7.2,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder."
O Predador,2018,5.3,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race."
Doutor Estranho no Multiverso da Loucura,2022,7.0,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
Glorious,2022,5.5,"After a breakup, Wes ends up at a remote rest stop. He finds himself locked inside the bathroom with a mysterious figure speaking from an adjacent stall. Soon Wes realizes he is involved in a situation more terrible than he could imagine."
365 Dias Finais,2022,2.7,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.
Uma Equipe Muito Especial,1992,7.3,Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.
Dois Caras Legais,2016,7.3,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
Homem-Aranha: Sem Volta para Casa,2021,8.3,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Spin Me Round,2022,5.1,"A woman wins an all-expenses-paid trip to a company's gorgeous ""institute"" outside of Florence, and also the chance to meet the restaurant chain's wealthy and charismatic owner. She finds a different adventure than the one she imagined."
Karthikeya 2,2022,8.5,"A sequel to mystic thriller Karthikeya, which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna."
Rogue Agent,2022,6.3,"The extraordinary and chilling story of career conman Robert Freegard who masqueraded as an MI5 agent and fooled people into going into hiding, and the woman who fell for him, and then brought him down."
They/Them,2022,3.5,A group of teenagers at an LGBTQ+ conversion camp endures unsettling psychological techniques while being stalked by a mysterious masked killer.
"RRR: Revolta, Rebelião, Revolução",2022,8.0,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.
Sing 2,2021,7.4,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
Carter,2022,5.1,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?"
Era Uma Vez um Gênio,2022,6.1,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom."
Um Sonho de Liberdade,1994,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Convite Maldito,2022,5.9,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot."
Era Uma Vez Em... Hollywood,2019,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Emily the Criminal,2022,7.2,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
Predadores,2010,6.4,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.
Influencer de Mentira,2022,6.0,"An ambitious young woman finds followers and fame when she poses as the survivor of a deadly attack, but she soon learns that online notoriety comes with a terrible price."
Corra!,2017,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Moonfall: Ameaça Lunar,2022,5.2,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.
Casa Gucci,2021,6.6,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder."
Wifelike,2022,5.0,"When artificial human Meredith is assigned as a companion to grieving widower William, she is designed to behave like his late wife. But in the fight to end AI exploitation, an organization attempts to sabotage her programming."
365 Dias: Hoje,2022,2.5,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.
A Incrível História de Adaline,2015,7.2,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
Untold: A Namorada que não Existiu,2022,7.2,"From Notre Dame to the NFL, Manti Te'o's future in football showed promise until a secret online relationship sent his life and career spiraling."
O Informante,2019,6.6,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.
O Predador 2: A Caçada Continua,1990,6.3,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles."
Morte no Nilo,2022,6.3,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
Temporada de Casamentos,2022,6.3,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other."
Ghostbusters: Mais Além,2021,7.1,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
Forrest Gump: O Contador de Histórias,1994,8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Pulp Fiction: Tempo de Violência,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
O Senhor dos Anéis: A Sociedade do Anel,2001,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
The Immaculate Room,2022,4.5,"Secrets and private demons emerge when a seemingly perfect young couple competes for a 5 million dollar prize by isolating themselves in an empty white room for 50 days. No phones, no family - only the room trying to break their resolve."
Um Maluco no Golfe,1996,7.0,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
O Peso do Talento,2022,7.0,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish)."
Picardias Estudantis,1982,7.1,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll."
Fogo Contra Fogo,1995,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
Midsommar: O Mal Não Espera a Noite,2019,7.1,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Decision to Leave,2022,7.4,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
Interestelar,2014,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
A Fera do Mar,2022,7.1,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot."
O Hóspede,2014,6.7,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
Belfast,2021,7.3,A young boy and his working-class Belfast family experience the tumultuous late 1960s.
Código: Imperador,2022,5.8,"Follows Juan, an agent working for the intelligence services, who also reports to a parallel unit involved in illegal activities."
O Enigma do Horizonte,1997,6.6,A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.
Crimes do Futuro,2022,5.9,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances."
O Lobo de Wall Street,2013,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
